Date,Company Name,Quater,Price,Open,High,Low,Close,Adj Close,Volume
2024-07-30,Alphabet,Q3,218.8,219.1900024,220.3300018,216.1199951,218.8000031,218.3068542,41643800.0
2024-07-31,Alphabet,Q3,222.0800018,221.4400024,223.8200073,220.6300049,222.0800018,221.5794678,50036300.0
2024-08-01,Alphabet,Q3,218.3600006,224.3699951,224.4799957,217.0200043,218.3600006,217.8678436,62501000.0
2024-08-02,Alphabet,Q3,219.8600006,219.1499939,225.6000061,217.7100067,219.8600006,219.3644714,105568600.0
2024-08-05,Alphabet,Q3,209.2700043,199.0899963,213.5,196.0,209.2700043,208.7983398,119548600.0
2024-08-06,Alphabet,Q3,207.2299957,205.3000031,209.9900055,201.0700073,207.2299957,206.7629395,69660500.0
2024-08-07,Alphabet,Q3,209.8200073,206.8999939,213.6399994,206.3899994,209.8200073,209.3471069,63516400.0
2024-08-08,Alphabet,Q3,213.3099976,213.1100006,214.1999969,208.8300018,213.3099976,212.8292236,47161100.0
2024-08-09,Alphabet,Q3,216.2400055,212.1000061,216.7799988,211.9700012,216.2400055,215.7526398,42201600.0
2024-08-12,Alphabet,Q3,217.5299988,216.0700073,219.5099945,215.6000061,217.5299988,217.2909393,38028100.0
2024-08-13,Alphabet,Q3,221.2700043,219.0099945,221.8899994,219.0099945,221.2700043,221.026825,44155300.0
2024-08-14,Alphabet,Q3,221.7200012,220.5700073,223.0299988,219.6999969,221.7200012,221.4763336,41960600.0
2024-08-15,Alphabet,Q3,224.7200012,224.6000061,225.3500061,222.7599945,224.7200012,224.4730377,46414000.0
2024-08-16,Alphabet,Q3,226.0500031,223.9199982,226.8300018,223.6499939,226.0500031,225.8015747,44340200.0
2024-08-19,Alphabet,Q3,225.8899994,225.7200012,225.9900055,223.0399933,225.8899994,225.6417542,40687800.0
2024-08-20,Alphabet,Q3,226.5099945,225.7700043,227.1699982,225.4499969,226.5099945,226.2610626,30299000.0
2024-08-21,Alphabet,Q3,226.3999939,226.5200043,227.9799957,225.0500031,226.3999939,226.1511841,34765500.0
2024-08-22,Alphabet,Q3,224.5299988,227.7899933,228.3399963,223.8999939,224.5299988,224.2832489,43695300.0
2024-08-23,Alphabet,Q3,226.8399963,225.6600037,228.2200012,224.3300018,226.8399963,226.5906982,38677300.0
2024-08-26,Alphabet,Q3,227.1799927,226.7599945,227.2799988,223.8899994,227.1799927,226.9303284,30602200.0
2024-08-27,Alphabet,Q3,228.0299988,226.0,228.8500061,224.8899994,228.0299988,227.7793884,35934600.0
2024-08-28,Alphabet,Q3,226.4900055,227.9199982,229.8600006,225.6799927,226.4900055,226.2410889,38052200.0
2024-08-29,Alphabet,Q3,229.7899933,230.1000061,232.9199982,228.8800049,229.7899933,229.5374603,51906300.0
2024-08-30,Alphabet,Q3,229.0,230.1900024,230.3999939,227.4799957,229.0,228.7483368,52990800.0
2024-09-03,Alphabet,Q3,222.7700043,228.5500031,229.0,221.1699982,222.7700043,222.525177,50190600.0
2024-09-04,Alphabet,Q3,220.8500061,221.6600037,221.7799988,217.4799957,220.8500061,220.6072998,43840200.0
2024-09-05,Alphabet,Q3,222.3800049,221.6300049,225.4799957,221.5200043,222.3800049,222.1356049,36615400.0
2024-09-06,Alphabet,Q3,220.8200073,223.9499969,225.2400055,219.7700043,220.8200073,220.5773315,48423000.0
2024-09-09,Alphabet,Q3,220.9100037,220.8200073,221.2700043,216.7100067,220.9100037,220.6672211,67180000.0
2024-09-10,Alphabet,Q3,220.1100006,218.9199982,221.4799957,216.7299957,220.1100006,219.868103,51591000.0
2024-09-11,Alphabet,Q3,222.6600037,221.4600067,223.0899963,217.8899994,222.6600037,222.4152985,44587100.0
2024-09-12,Alphabet,Q3,222.7700043,222.5,223.5500031,219.8200073,222.7700043,222.525177,37498200.0
2024-09-13,Alphabet,Q3,222.5,223.5800018,224.0399933,221.9100037,222.5,222.2554779,36766600.0
2024-09-16,Alphabet,Q3,216.3200073,216.5399933,217.2200012,213.9199982,216.3200073,216.0822754,59357400.0
2024-09-17,Alphabet,Q3,216.7899933,215.75,216.8999939,214.5,216.7899933,216.5517426,45519300.0
2024-09-18,Alphabet,Q3,220.6900024,217.5500031,222.7100067,217.5399933,220.6900024,220.447464,59894900.0
2024-09-19,Alphabet,Q3,228.8699951,224.9900055,229.8200073,224.6300049,228.8699951,228.6184692,66781300.0
2024-09-20,Alphabet,Q3,228.1999969,229.9700012,233.0899963,227.6199951,228.1999969,227.9492035,318679900.0
2024-09-23,Alphabet,Q3,226.4700012,227.3399963,229.4499969,225.8099976,226.4700012,226.2211151,54146000.0
2024-09-24,Alphabet,Q3,227.3699951,228.6499939,229.3500061,225.7299957,227.3699951,227.1201172,43556100.0
2024-09-25,Alphabet,Q3,226.3699951,224.9299927,227.2899933,224.0200043,226.3699951,226.1212158,42308700.0
2024-09-26,Alphabet,Q3,227.5200043,227.3000031,228.5,225.4100037,227.5200043,227.2699585,36636700.0
2024-09-27,Alphabet,Q3,227.7899933,228.4600067,229.5200043,227.3000031,227.7899933,227.5396576,34026000.0
2024-09-30,Alphabet,Q3,233.0,230.0399933,233.0,229.6499939,233.0,232.7439423,54541900.0
2024-10-01,Alphabet,Q4,226.2100067,229.5200043,229.6499939,223.7400055,226.2100067,225.9614105,63285000.0
2024-10-02,Alphabet,Q4,226.7799988,225.8899994,227.3699951,223.0200043,226.7799988,226.530777,32880600.0
2024-10-03,Alphabet,Q4,225.6699982,225.1399994,226.8099976,223.3200073,225.6699982,225.4219818,34044200.0
2024-10-04,Alphabet,Q4,226.8000031,227.8999939,228.0,224.1300049,226.8000031,226.5507507,37245100.0
2024-10-07,Alphabet,Q4,221.6900024,224.5,225.6900024,221.3300018,221.6900024,221.4463654,39505400.0
2024-10-08,Alphabet,Q4,225.7700043,224.3000031,225.9799957,223.25,225.7700043,225.5218811,31855700.0
2024-10-09,Alphabet,Q4,229.5399933,225.2299957,229.75,224.8300018,229.5399933,229.287735,33591100.0
2024-10-10,Alphabet,Q4,229.0399933,227.7799988,229.5,227.1699982,229.0399933,228.7882843,28183500.0
2024-10-11,Alphabet,Q4,227.5500031,229.3000031,229.4100037,227.3399963,227.5500031,227.2999268,31759200.0
2024-10-14,Alphabet,Q4,231.3000031,228.6999969,231.7299957,228.6000061,231.3000031,231.0458069,39882100.0
2024-10-15,Alphabet,Q4,233.8500061,233.6100006,237.4900055,232.3699951,233.8500061,233.5930023,64751400.0
2024-10-16,Alphabet,Q4,231.7799988,231.6000061,232.1199951,229.8399963,231.7799988,231.5252686,34082200.0
2024-10-17,Alphabet,Q4,232.1499939,233.4299927,233.8500061,230.5200043,232.1499939,231.8948669,32993800.0
2024-10-18,Alphabet,Q4,235.0,236.1799927,236.1799927,234.0099945,235.0,234.7417297,46431500.0
2024-10-21,Alphabet,Q4,236.4799957,234.4499969,236.8500061,234.4499969,236.4799957,236.220108,36254500.0
2024-10-22,Alphabet,Q4,235.8600006,233.8899994,236.2200012,232.6000061,235.8600006,235.6007996,38846600.0
2024-10-23,Alphabet,Q4,230.7599945,234.0800018,235.1399994,227.7599945,230.7599945,230.5063934,52287000.0
2024-10-24,Alphabet,Q4,230.5700073,229.9799957,230.8200073,228.4100037,230.5700073,230.3166199,31109500.0
2024-10-25,Alphabet,Q4,231.4100037,229.7400055,233.2200012,229.5700073,231.4100037,231.1556854,38802300.0
2024-10-28,Alphabet,Q4,233.3999939,233.3200073,234.7299957,232.5500031,233.3999939,233.1434937,36087100.0
2024-10-29,Alphabet,Q4,233.6699982,233.1000061,234.3300018,232.3200073,233.6699982,233.4131927,35417200.0
2024-10-30,Alphabet,Q4,230.1000061,232.6100006,233.4700012,229.5500031,230.1000061,229.8471222,47070900.0
2024-10-31,Alphabet,Q4,225.9100037,229.3399963,229.8300018,225.3699951,225.9100037,225.6617279,64370100.0
2024-11-01,Alphabet,Q4,222.9100037,220.9700012,225.3500061,220.2700043,222.9100037,222.6650238,65276700.0
2024-11-04,Alphabet,Q4,222.0099945,220.9900055,222.7899933,219.7100067,222.0099945,221.7660065,44944500.0
2024-11-05,Alphabet,Q4,223.4499969,221.8000031,223.9499969,221.1399994,223.4499969,223.204422,28111300.0
2024-11-06,Alphabet,Q4,222.7200012,222.6100006,226.0700073,221.1900024,222.7200012,222.475235,54561100.0
2024-11-07,Alphabet,Q4,227.4799957,224.6300049,227.8800049,224.5700073,227.4799957,227.2299957,42137700.0
2024-11-08,Alphabet,Q4,226.9600067,227.1699982,228.6600037,226.4100037,226.9600067,226.9600067,38328800.0
