Company Name,Quarter, Date, Open, High, Low,Close, Adj Close
Alphabet,Q3,05-08-2024,199.09,213.5,196,209.27,208.8
Alphabet,Q4,04-11-2024,220.99,222.79,219.71,222.01,221.77
Amazon,Q3,05-08-2024,154.21,162.96,151.61,161.02,161.02
Amazon,Q4,07-10-2024,182.95,183.6,180.25,180.8,180.8
Google,Q3,09-09-2024,152.51,153.4,147.22,148.71,148.54
Google,Q4,09-10-2024,163.45,164.84,159.74,161.86,161.67
Meta,Q3,05-08-2024,451.35,483.48,450.8,475.73,474.89
Meta,Q4,21-11-2024,569.52,570,549.05,563.09,562.64
Microsoft,Q3,05-08-2024,389.17,401.04,385.58,395.15,394.44
Microsoft,Q4,04-11-2024,409.8,410.42,405.57,408.46,408.46
Netflix,Q3,05-08-2024,587.04,604.56,587.04,598.55,598.55
Netflix,Q4,17-10-2024,704.35,704.41,677.88,687.65,687.65
